location,datetime,tempmax,humidity,solarradiation
colombo,2016-05-18,30.0,79.0,782.0
colombo,2016-05-19,29.5,82.0,639.0
colombo,2016-05-20,29.7,77.0,621.0
colombo,2016-05-21,29.2,81.0,503.0
colombo,2016-05-22,30.3,78.0,713.0
colombo,2016-05-23,30.1,77.0,719.0
colombo,2016-05-24,29.1,84.0,560.0
colombo,2016-05-25,30.1,75.0,694.0
colombo,2016-05-26,30.2,79.0,691.0
colombo,2016-05-27,27.9,87.0,277.0
colombo,2016-05-28,28.8,79.0,668.0
colombo,2016-05-29,28.7,82.0,476.0
colombo,2016-05-30,29.5,78.0,814.0
colombo,2016-05-31,28.4,83.0,376.0
colombo,2016-06-01,29.5,82.0,669.0
colombo,2016-06-02,29.4,83.0,707.0
colombo,2016-06-03,29.1,79.0,511.0
colombo,2016-06-04,29.3,83.0,773.0
colombo,2016-06-05,28.3,83.0,474.0
colombo,2016-06-06,29.0,77.0,718.0
colombo,2016-06-07,29.1,80.0,741.0
colombo,2016-06-08,28.6,81.0,712.0
colombo,2016-06-09,29.3,77.0,739.0
colombo,2016-06-10,29.4,80.0,783.0
colombo,2016-06-11,29.5,74.0,703.0
colombo,2016-06-12,29.5,82.0,730.0
colombo,2016-06-13,29.4,78.0,824.0
colombo,2016-06-14,29.4,81.0,686.0
colombo,2016-06-15,29.2,73.0,676.0
colombo,2016-06-16,29.3,79.0,685.0
colombo,2016-06-17,28.2,87.0,604.0
colombo,2016-06-18,28.2,81.0,603.0
colombo,2016-06-19,28.8,81.0,750.0
colombo,2016-06-20,27.9,82.0,494.0
colombo,2016-06-21,28.5,80.0,800.0
colombo,2016-06-22,29.1,74.0,870.0
colombo,2016-06-23,29.2,71.0,866.0
colombo,2016-06-24,28.8,72.0,758.0
colombo,2016-06-25,29.1,68.0,841.0
colombo,2016-06-26,29.0,80.0,795.0
colombo,2016-06-27,29.1,73.0,855.0
colombo,2016-06-28,28.2,81.0,636.0
colombo,2016-06-29,28.5,84.0,578.0
colombo,2016-06-30,29.1,83.0,720.0
colombo,2016-07-01,29.1,84.0,708.0
colombo,2016-07-02,29.7,74.0,860.0
colombo,2016-07-03,30.1,72.0,815.0
colombo,2016-07-04,29.8,85.0,752.0
colombo,2016-07-05,29.4,73.0,765.0
colombo,2016-07-06,29.2,72.0,766.0
colombo,2016-07-07,29.6,72.0,867.0
colombo,2016-07-08,28.8,77.0,579.0
colombo,2016-07-09,28.9,81.0,577.0
colombo,2016-07-10,28.7,83.0,695.0
colombo,2016-07-11,29.1,76.0,726.0
colombo,2016-07-12,29.1,80.0,773.0
colombo,2016-07-13,28.5,82.0,684.0
colombo,2016-07-14,28.8,78.0,717.0
colombo,2016-07-15,28.4,82.0,647.0
colombo,2016-07-16,27.6,83.0,567.0
colombo,2016-07-17,28.2,83.0,618.0
colombo,2016-07-18,28.3,81.0,639.0
colombo,2016-07-19,28.9,72.0,744.0
colombo,2016-07-20,28.7,74.0,778.0
colombo,2016-07-21,28.5,75.0,722.0
colombo,2016-07-22,28.7,70.0,856.0
colombo,2016-07-23,28.4,76.0,686.0
colombo,2016-07-24,27.3,81.0,577.0
colombo,2016-07-25,28.1,82.0,687.0
colombo,2016-07-26,27.8,83.0,645.0
colombo,2016-07-27,27.7,85.0,723.0
colombo,2016-07-28,28.3,78.0,662.0
colombo,2016-07-29,28.9,80.0,781.0
colombo,2016-07-30,28.5,79.0,727.0
colombo,2016-07-31,28.1,85.0,735.0
colombo,2016-08-01,28.6,82.0,621.0
colombo,2016-08-02,29.0,72.0,822.0
colombo,2016-08-03,29.0,71.0,787.0
colombo,2016-08-04,28.8,82.0,753.0
colombo,2016-08-05,29.1,74.0,847.0
colombo,2016-08-06,29.6,71.0,940.0
colombo,2016-08-07,29.3,77.0,821.0
colombo,2016-08-08,29.3,78.0,842.0
colombo,2016-08-09,28.9,80.0,716.0
colombo,2016-08-10,29.1,77.0,852.0
colombo,2016-08-11,29.0,78.0,783.0
colombo,2016-08-12,28.7,81.0,709.0
colombo,2016-08-13,28.4,79.0,765.0
colombo,2016-08-14,28.5,82.0,640.0
colombo,2016-08-15,28.5,80.0,735.0
colombo,2016-08-16,28.2,80.0,709.0
colombo,2016-08-17,29.0,80.0,797.0
colombo,2016-08-18,28.7,79.0,802.0
colombo,2016-08-19,28.5,73.0,683.0
colombo,2016-08-20,28.5,74.0,733.0
colombo,2016-08-21,28.7,80.0,756.0
colombo,2016-08-22,28.4,84.0,620.0
colombo,2016-08-23,28.7,82.0,789.0
colombo,2016-08-24,28.8,79.0,827.0
colombo,2016-08-25,28.1,83.0,682.0
colombo,2016-08-26,28.0,84.0,632.0
colombo,2016-08-27,28.0,71.0,635.0
colombo,2016-08-28,28.4,84.0,735.0
colombo,2016-08-29,28.2,74.0,809.0
colombo,2016-08-30,27.8,83.0,744.0
colombo,2016-08-31,28.1,83.0,711.0
colombo,2016-09-01,27.9,75.0,773.0
colombo,2016-09-02,27.5,84.0,411.0
colombo,2016-09-03,27.8,80.0,691.0
colombo,2016-09-04,28.5,82.0,802.0
colombo,2016-09-05,28.4,77.0,817.0
colombo,2016-09-06,28.5,73.0,888.0
colombo,2016-09-07,28.4,70.0,887.0
colombo,2016-09-08,27.9,69.0,700.0
colombo,2016-09-09,28.1,78.0,824.0
colombo,2016-09-10,28.3,73.0,777.0
colombo,2016-09-11,28.7,79.0,758.0
colombo,2016-09-12,28.5,78.0,745.0
colombo,2016-09-13,28.6,79.0,836.0
colombo,2016-09-14,28.6,79.0,641.0
colombo,2016-09-15,28.8,80.0,796.0
colombo,2016-09-16,28.8,71.0,851.0
colombo,2016-09-17,28.7,81.0,764.0
colombo,2016-09-18,27.5,82.0,659.0
colombo,2016-09-19,28.5,75.0,753.0
colombo,2016-09-20,28.3,81.0,740.0
colombo,2016-09-21,28.6,78.0,800.0
colombo,2016-09-22,28.7,73.0,919.0
colombo,2016-09-23,28.7,82.0,772.0
colombo,2016-09-24,28.7,72.0,862.0
